tag,patterns,responses,content
L24680, Tell me about it..., I never thought I'd say this but -- for once in my life I think I'm willing to wait for back-up.,
L24679, No he's not.  Not if he overdosed on the drug.  Massive amounts trigger a... a change.  Your body functions seize up you appear to be dead but it's really a state of incubation.  When you emerge you're..., Tell me about it...,
L24678, Harcourt is dead., No he's not.  Not if he overdosed on the drug.  Massive amounts trigger a... a change.  Your body functions seize up you appear to be dead but it's really a state of incubation.  When you emerge you're...,
L24677, ... It's Harcourt., Harcourt is dead.,
L24676, What is this?!, ... It's Harcourt.,
L24672, Do what?!  George-- ?!, What is this?!,
L24671, No!  We must do this alone., Do what?!  George-- ?!,
L24670, There!  Go back.  Down that side street., No!  We must do this alone.,
L24669, What's this about George?  I know that look., There!  Go back.  Down that side street.,
L24657, It'd be for your own good.  I think you'd be better off with a partner who's a little more... by the book.  ... Still I gotta tell you George for a quiet guy you're sure hell on wheels once you get going.  I'd kinda hate to miss your next two days as a detective., What's this about George?  I know that look.,
L24656, With Harcourt and Kipling dead I assume you will be requesting reassignment now., It'd be for your own good.  I think you'd be better off with a partner who's a little more... by the book.  ... Still I gotta tell you George for a quiet guy you're sure hell on wheels once you get going.  I'd kinda hate to miss your next two days as a detective.,
L24651, Ss-ai!, With Harcourt and Kipling dead I assume you will be requesting reassignment now.,
L24650, Shit!, Ss-ai!,
L24610, Fuck procedure., Shit!,
L24609, , Fuck procedure.,
L24608, Why?  What's the big goddamn deal?, ,
L24607, The fifty kilos Matthew.  I have to find it.  I can't let it get out on the street., Why?  What's the big goddamn deal?,
L24606, George c'mon -- lighten up.  It's a beauty of a case.  Don't sweat it -- we got him by the short hairs. He ain't gonna make any more of the shit., The fifty kilos Matthew.  I have to find it.  I can't let it get out on the street.,
L24599, Stay out of this Matthew.  Tell me where the drug has been taken or I will crush your lungs against this wall., George c'mon -- lighten up.  It's a beauty of a case.  Don't sweat it -- we got him by the short hairs. He ain't gonna make any more of the shit.,
L24598, George uh... you're gonna break his little chest bones..., Stay out of this Matthew.  Tell me where the drug has been taken or I will crush your lungs against this wall.,
L24594, Where is the drug?  Where have they taken it?, George uh... you're gonna break his little chest bones...,
L24593, Uh George..., Where is the drug?  Where have they taken it?,
L24588, No George -- you're missing the point.  The drug is evidence.  We need to have the evidence ya know?, Uh George...,
L24587, If the drug is here we must destroy it., No George -- you're missing the point.  The drug is evidence.  We need to have the evidence ya know?,
L24586, Okay George -- we gotta play this real smart., If the drug is here we must destroy it.,
L24585, Harcourt was the brain who brought it all together., Okay George -- we gotta play this real smart.,
L24584, They had months in quarantine to develop the plan.  Porter with his chemistry background must have somehow come up with the formula for the drug.  Hubley manufactured it -- at the refinery.  Strader through the nightclub established a distribution network.  And Harcourt--, Harcourt was the brain who brought it all together.,
L24565, I must trust you Matthew.  I cannot stop this without you., They had months in quarantine to develop the plan.  Porter with his chemistry background must have somehow come up with the formula for the drug.  Hubley manufactured it -- at the refinery.  Strader through the nightclub established a distribution network.  And Harcourt--,
L24564, George... look me in the eye... George you don't ever lie to me again., I must trust you Matthew.  I cannot stop this without you.,
L24563, Your people don't know about this part of out past.  And they can't know -- It would threaten our entire existence here., George... look me in the eye... George you don't ever lie to me again.,
L24562, Jesus this is major.  Why didn't you tell me sooner? Why'd you hold out on me?, Your people don't know about this part of out past.  And they can't know -- It would threaten our entire existence here.,
L24561, No... I am sure not.  That is why I am so concerned... someone must now be producing it here.  But none of my people know how to make it.  The process was carefully guarded., Jesus this is major.  Why didn't you tell me sooner? Why'd you hold out on me?,
L24560, Where did he get it?  Was there any of it on the ship?, No... I am sure not.  That is why I am so concerned... someone must now be producing it here.  But none of my people know how to make it.  The process was carefully guarded.,
L24559, We all did., Where did he get it?  Was there any of it on the ship?,
L24558, We?  You've taken it?, We all did.,
L24557," Like your cocaine I suppose.  The ""high"" lasts several hours.  We would receive small amounts of it... as a reward for our labor.", We?  You've taken it?,
L24556, How potent?," Like your cocaine I suppose.  The ""high"" lasts several hours.  We would receive small amounts of it... as a reward for our labor.",
L24555, ... It is called ss'jabroka'.  To us it is a potent narcotic., How potent?,
L24554, The hell it isn't when somebody wires up enough C-4 explosive to my car to turn me into pink mist!  That Slag was on something and not sour milk either?  Am I right?  TELL ME!  What is it?, ... It is called ss'jabroka'.  To us it is a potent narcotic.,
L24553, No.  I cannot involve you.  This is not your concern., The hell it isn't when somebody wires up enough C-4 explosive to my car to turn me into pink mist!  That Slag was on something and not sour milk either?  Am I right?  TELL ME!  What is it?,
L24552, No secrets goddammit!  You don't hold back from me.  Whatever is going on you're gonna tell me now!, No.  I cannot involve you.  This is not your concern.,
L24550, You must leave me alone on this., No secrets goddammit!  You don't hold back from me.  Whatever is going on you're gonna tell me now!,
L24549, What's this nothing shit?  It wasn't nothing yesterday when you asked Bentner to run that test and he looked like he was about to shit peach pits and it's not nothing now.  Don't lie to me George you're bad at it., You must leave me alone on this.,
L24537, ... and Porter ran a piece of shit mom-and-pop mini-mart.  So what the hell's the connection?, What's this nothing shit?  It wasn't nothing yesterday when you asked Bentner to run that test and he looked like he was about to shit peach pits and it's not nothing now.  Don't lie to me George you're bad at it.,
L24536, Warren Hubley was in middle management at a refinery... Joshua Strader operated a successful bar and nightclub..., ... and Porter ran a piece of shit mom-and-pop mini-mart.  So what the hell's the connection?,
